Gene	mat_SRR364453	pat_SRR364453	pat_SRR364454	mat_SRR364454	mat_SRR415002	pat_SRR415002	pat_SRR415003	mat_SRR415003
AC196090.3_FG006	48	51	38	154	47	51	38	150
AC196130.3_FG002	1	0	0	4	1	0	0	4
AC196156.3_FG003	176	0	186	0	159	0	176	0
AC196171.6_FG002	2	0	0	0	2	0	0	0
AC196417.3_FG008	19	2	112	63	17	2	109	61
AC196475.3_FG005	3906	1774	2137	3962	3709	1704	2059	3816
AC196488.3_FG007	3	0	0	0	3	0	0	0
AC196489.3_FG002	5001	2287	2278	4559	4737	2181	2166	4385
AC196637.2_FG002	3	0	2	3	3	0	2	3
AC196708.3_FG006	30	2	13	13	27	2	13	12
AC196710.3_FG013	6	0	1	0	6	0	1	0
AC196779.3_FG003	1	1	0	1	1	1	0	1
AC196956.3_FG003	13	2	2	6	13	2	2	6
AC196957.3_FG005	7	2	3	3	7	1	3	3
AC196961.2_FG003	45	10	35	36	44	10	33	36
AC197029.3_FG003	15	2	5	15	14	2	5	14
AC197122.3_FG003	267	133	167	195	251	129	157	184
AC197146.3_FG001	77	49	52	135	74	43	51	131
AC197146.3_FG002	11	0	1	0	11	0	1	0
AC197150.3_FG003	1	0	0	0	1	0	0	0
AC197164.4_FG002	6	0	0	0	6	0	0	0
AC197246.3_FG001	30	7	12	20	28	7	12	19
AC197387.3_FG004	30	1	8	2	27	1	8	2
AC197432.4_FG001	64	0	45	0	58	0	43	0
AC197545.3_FG002	157	71	124	246	151	68	123	238
AC197555.3_FG008	530	296	270	483	505	283	258	457
AC197575.3_FG008	17	1	0	4	14	1	0	4
AC197672.3_FG002	1134	937	801	1780	1089	896	771	1705
AC197699.3_FG002	8	2	3	9	8	2	3	9
AC197699.3_FG003	113	46	60	84	110	41	56	78
AC197705.4_FG001	1539	1560	1135	4686	1470	1493	1091	4506
AC197705.4_FG003	82	44	7	31	75	43	7	30
AC197705.4_FG004	2	6	2	9	2	6	2	9
AC197705.4_FG006	938	377	559	872	895	365	532	827
AC197705.4_FG007	505	228	302	459	484	216	287	436
AC197705.4_FG011	19	8	7	2	19	8	7	2
AC197717.3_FG002	4072	2786	5167	3109	3891	2669	4980	3008
AC198169.4_FG004	135	59	65	39	124	56	62	34
