Gene	mat_SRR396678	pat_SRR396678	pat_SRR396679	mat_SRR396679
AC207628.4_FG003	0	1	0	0
AC207628.4_FG009	60	26	8	31
AC207628.4_FG010	11	0	10	0
AC207652.3_FG001	2	1	0	4
AC207722.2_FG009	2	0	0	0
AC207814.3_FG003	0	2	0	0
AC207888.3_FG009	1	0	0	0
AC208031.3_FG002	1	2	1	1
AC208126.3_FG001	0	11	0	0
AC208201.3_FG001	206	77	59	124
AC208221.3_FG002	0	1	0	0
AC208337.2_FG003	5	0	0	3
AC208346.3_FG004	96	44	19	58
AC208436.3_FG007	7	2	3	1
AC208440.3_FG003	98	41	22	31
AC208539.3_FG002	0	7	7	0
AC208559.3_FG003	0	35	0	34
AC208571.4_FG001	11	2	7	5
AC208724.3_FG001	25	13	5	7
AC208897.3_FG003	15	11	4	0
AC208916.3_FG003	0	1	1	0
AC209016.3_FG010	1	0	0	0
AC209050.3_FG003	1	0	0	0
AC209080.3_FG004	77	11	18	4
AC209206.3_FG011	71	40	21	64
AC209206.3_FG014	12	0	0	5
AC209208.3_FG001	1	38	25	1
AC209208.3_FG002	17	1	4	13
AC209208.3_FG005	165	58	35	79
AC209257.4_FG003	2	0	0	0
AC209257.4_FG004	1	0	0	0
AC209257.4_FG006	8	2	3	2
AC209257.4_FG008	12	9	4	22
AC209356.4_FG001	5	12	0	0
AC209374.4_FG002	3	0	1	2
AC209460.3_FG002	11	10	0	16
AC209624.2_FG003	2	2	0	0
AC209626.2_FG013	16	18	10	17
AC209664.3_FG002	58	30	28	40
AC209675.3_FG001	0	6	0	5
AC209705.3_FG004	0	1	1	1
AC209718.1_FG009	19	2	4	3
AC209729.3_FG003	0	1	0	0
AC209739.3_FG003	1	0	1	2
AC209784.3_FG011	2	3	0	6
AC209819.3_FG003	4	0	0	0
AC209819.3_FG005	5	144	2	139
AC209819.3_FG009	2	0	1	1
AC209819.3_FG012	185	118	30	109
AC209858.4_FG002	612	282	154	281
AC209858.4_FG004	63	38	42	55
AC209898.2_FG004	7	14	3	4
AC209987.4_FG002	17	0	0	0
AC210003.2_FG004	18	4	10	6
AC210013.4_FG002	9	29	2	9
AC210013.4_FG003	19	5	22	3
AC210013.4_FG007	0	1	0	0
AC210013.4_FG008	123	29	24	32
AC210013.4_FG009	85	26	21	16
AC210013.4_FG011	146	93	52	72
AC210013.4_FG012	2	1	0	1
AC210013.4_FG013	25	15	10	13
AC210013.4_FG016	113	75	62	119
AC210013.4_FG018	229	5	116	26
AC210013.4_FG019	1540	667	554	893
AC210023.3_FG014	5	5	4	2
AC210158.3_FG004	17	1	2	4
AC210173.4_FG002	1	0	2	2
AC210173.4_FG005	48	21	11	13
AC210193.4_FG002	66	13	3	24
AC210204.3_FG002	124	53	84	181
AC210314.3_FG006	266	251	81	417
AC210422.3_FG009	2	0	1	0
AC210517.3_FG003	2	5	0	5
AC210595.3_FG004	55	24	15	22
AC210669.3_FG001	21	16	22	47
AC210816.3_FG006	8	5	5	9
AC210892.4_FG006	0	1	0	1
AC211164.5_FG003	104	26	24	34
AC211164.5_FG004	3	0	1	0
AC211175.3_FG005	32	28	8	30
AC211192.3_FG003	5	0	0	25
AC211257.3_FG002	1	0	0	0
AC211276.4_FG008	34	9	25	21
AC211325.4_FG003	1	0	0	1
AC211357.4_FG004	110	35	33	40
AC211390.3_FG001	4	2	0	0
AC211403.4_FG005	0	4	7	0
AC211467.4_FG002	0	1	0	0
AC211474.3_FG006	25	0	28	2
AC211652.4_FG002	91	40	28	40
AC211737.3_FG012	12	9	3	8
AC211764.3_FG010	3	0	0	0
