Gene	mat_SRR068962	pat_SRR068962	mat_SRR068963	pat_SRR068963	mat_SRR068964	pat_SRR068964	mat_SRR068968	pat_SRR068968	mat_SRR068969	pat_SRR068969	mat_SRR068970	pat_SRR068970	mat_SRR068971	pat_SRR068971	mat_SRR068972	pat_SRR068972	mat_SRR068973	pat_SRR068973	mat_SRR068974	pat_SRR068974	pat_SRR068984	mat_SRR068984	pat_SRR068985	mat_SRR068985	pat_SRR068986	mat_SRR068986	pat_SRR068987	mat_SRR068987	pat_SRR068988	mat_SRR068988	pat_SRR068989	mat_SRR068989	pat_SRR068990	mat_SRR068990
AT5G47820	5	1	8	1	8	0	27	11	22	30	31	16	107	53	69	45	76	24	88	32	9	25	13	37	13	28	37	68	25	76	25	81	28	80
AT5G47830	1	0	1	0	0	1	63	28	86	43	91	45	28	21	26	11	29	20	31	11	28	82	44	97	37	91	7	43	12	44	10	36	12	48
AT5G47840	4	1	2	2	3	1	18	10	20	19	18	8	49	27	40	24	37	15	35	18	10	16	15	19	13	15	19	54	28	64	25	52	22	59
AT5G47870	7	0	6	0	5	0	32	7	25	10	32	12	86	37	83	28	72	22	66	18	8	4	8	16	7	12	44	87	50	75	39	77	44	78
AT5G47880	140	41	132	52	129	40	403	217	553	240	511	244	786	272	598	242	609	223	592	201	199	366	275	459	271	498	284	719	290	638	267	647	279	660
AT5G47890	8	4	8	3	7	5	13	20	15	10	21	17	57	23	45	16	41	17	57	13	9	23	8	37	11	24	17	83	20	74	14	76	17	75
AT5G47900	0	1	1	0	0	1	2	1	4	3	1	0	2	1	0	0	3	0	2	0	0	1	0	0	0	4	0	2	1	3	0	3	0	3
AT5G47910	11	2	15	3	18	2	126	60	138	80	158	75	294	179	268	137	232	146	225	126	62	109	66	128	71	128	174	329	177	273	170	259	149	284
AT5G47930	3	2	8	5	4	0	31	6	42	13	27	4	17	7	19	2	26	5	17	3	10	7	9	11	10	7	12	14	13	11	10	10	12	18
AT5G47940	5	3	5	1	7	3	9	5	17	3	15	4	31	6	23	16	22	5	21	16	3	5	7	8	14	22	7	38	5	38	10	34	13	32
AT5G47970	7	5	7	2	12	4	61	17	59	21	58	24	75	7	63	12	55	4	55	10	23	23	33	26	34	33	34	19	44	24	36	21	37	27
AT5G48090	2	4	7	3	4	5	9	15	19	26	15	22	22	29	16	23	17	19	20	22	7	31	8	38	6	44	18	63	8	60	14	48	10	56
AT5G48100	76	0	76	0	83	5	2977	8	3662	12	3761	2	19505	40	15722	35	15779	32	14860	31	5	1493	8	1885	7	1897	40	13094	39	10953	38	11122	37	11240
AT5G48120	1	0	2	0	0	0	6	1	8	4	14	1	7	0	7	2	2	0	10	2	0	4	3	6	3	7	1	4	6	13	5	6	7	9
AT5G48150	14	3	15	4	17	8	21	2	34	4	35	2	30	11	36	15	21	5	18	9	14	23	14	17	26	23	9	34	8	29	8	42	15	40
AT5G48160	39	12	51	16	29	12	232	50	282	72	268	70	329	69	273	62	256	60	234	60	125	151	146	162	137	182	120	200	110	167	110	149	101	157
AT5G48180	1657	1051	1600	1099	1586	1044	13051	7496	14790	8663	14736	8854	14479	5539	11464	5728	11549	5721	11229	5716	6067	12812	7255	15103	7098	15415	5742	11427	5297	9990	5442	9884	5405	9996
AT5G48300	62	31	61	37	54	29	346	199	456	245	392	253	482	457	411	336	439	325	376	337	127	248	134	336	149	316	289	1003	280	912	293	906	310	977
AT5G48310	40	13	54	19	49	11	66	25	78	27	72	30	61	14	38	9	56	13	28	17	28	19	24	49	32	36	26	65	29	56	31	54	30	57
AT5G48330	7	5	7	7	9	5	43	13	60	24	68	16	51	11	41	4	37	6	39	9	13	31	37	29	25	17	15	21	8	24	23	18	10	25
AT5G48335	27	1	19	2	15	2	193	30	226	26	227	41	99	13	100	8	74	7	80	7	67	51	86	64	102	65	32	45	46	36	49	45	35	42
AT5G48340	14	2	21	3	17	0	62	9	75	18	88	8	224	27	153	13	151	26	152	15	37	20	55	20	37	25	73	54	73	48	82	55	84	60
AT5G48360	1	1	1	0	0	0	10	8	16	5	10	5	12	3	11	3	11	1	11	8	5	4	5	7	5	12	16	19	12	6	13	17	13	13
AT5G48370	2	0	4	0	1	0	6	0	6	1	6	1	14	2	5	0	4	0	11	3	3	0	1	0	3	1	5	2	3	4	1	6	3	3
AT5G48380	2	1	4	1	7	2	35	15	38	14	35	7	121	35	89	26	78	26	77	17	14	29	12	47	20	38	21	131	24	120	22	112	33	119
AT5G48385	13	13	11	6	11	9	75	41	95	53	90	59	106	59	85	40	105	32	108	37	43	111	48	140	45	157	47	133	37	98	36	115	43	111
AT5G48390	2	0	0	0	1	0	1	0	0	0	0	0	5	0	5	0	2	3	4	0	1	0	1	1	1	1	0	2	0	0	0	1	0	3
AT5G48440	3	1	4	1	5	0	13	12	22	18	12	7	40	16	19	27	35	14	16	19	11	21	9	39	10	37	16	37	8	29	8	39	14	32
AT5G48450	3	7	2	5	1	6	32	29	46	28	42	30	52	21	42	26	33	19	31	21	29	30	28	53	34	44	26	44	18	37	20	44	25	49
AT5G48460	17	13	20	5	14	6	29	29	41	34	38	33	74	55	33	33	42	45	45	26	15	48	22	78	23	61	44	125	42	107	43	122	42	130
AT5G48470	1	0	3	0	1	0	10	8	17	3	26	3	27	3	29	5	19	4	19	6	5	7	11	8	7	4	26	12	31	26	17	22	30	21
AT5G48480	8	1	13	2	12	2	29	8	30	10	24	7	81	4	55	3	47	3	54	3	4	5	14	8	12	4	27	16	29	18	38	16	39	20
AT5G48485	2	0	0	0	0	0	51	13	72	19	78	15	50	10	23	11	38	8	31	4	24	9	36	15	47	19	23	12	20	9	24	11	31	13
AT5G48500	1	0	2	0	0	0	0	1	5	5	4	2	9	5	10	2	14	5	14	3	2	2	4	3	3	6	10	10	8	8	5	4	6	16
AT5G48530	2	2	2	0	6	0	31	4	38	6	37	8	69	15	47	12	39	10	35	13	9	23	7	15	14	17	16	29	21	38	25	37	22	37
AT5G48570	1	0	0	1	0	0	179	55	189	89	197	71	223	50	186	62	181	41	191	42	91	269	122	331	118	330	68	238	50	203	55	195	46	215
AT5G48600	35	27	51	22	36	21	173	136	199	184	180	172	126	77	94	56	81	74	91	46	82	231	127	263	115	278	139	304	133	266	115	284	124	295
AT5G48610	7	2	6	8	13	8	312	85	389	79	381	93	637	190	475	161	457	163	472	140	144	179	203	211	193	197	180	494	183	416	178	480	185	481
AT5G48630	2	3	5	1	1	5	22	5	19	7	19	9	18	10	20	8	24	9	19	5	3	18	4	20	8	22	6	34	8	19	10	38	12	27
AT5G48650	15	2	22	1	14	6	53	5	56	13	61	15	142	59	93	43	109	32	104	36	5	40	6	55	4	50	42	221	26	197	24	227	31	235
AT5G48655	7	7	8	9	6	7	34	27	43	30	41	21	79	10	59	9	70	17	56	9	23	38	18	50	24	51	20	66	23	46	18	62	19	61
AT5G48660	1	0	0	0	1	0	3	1	3	1	1	0	7	5	4	4	5	6	4	1	3	3	3	3	1	4	2	10	3	4	6	5	8	4
AT5G48680	13	2	8	0	5	1	19	4	37	0	18	4	41	6	47	5	38	5	56	2	9	2	8	7	5	8	23	9	26	17	26	10	19	20
AT5G48840	4	10	8	9	7	15	9	20	12	25	25	30	25	15	17	9	19	14	19	7	15	42	17	63	17	47	7	45	12	30	6	39	9	40
AT5G48910	4	3	2	1	3	0	29	7	28	8	32	7	121	42	90	38	107	22	78	24	7	14	17	21	12	27	23	80	30	74	39	75	37	99
AT5G48920	1	0	2	0	1	0	1	0	0	0	1	0	2	5	2	4	0	1	1	4	0	0	0	0	0	0	0	2	0	1	0	0	0	2
AT5G48930	14	2	15	3	9	3	65	2	106	13	89	11	120	28	65	24	77	23	80	21	14	10	23	28	34	22	33	58	36	58	29	51	31	55
AT5G48960	3	3	8	3	3	1	9	1	6	2	10	3	32	8	16	7	15	4	16	8	1	7	4	8	5	5	9	19	9	23	10	22	11	22
AT5G48970	1	1	1	0	0	0	0	2	2	3	4	1	9	2	0	0	4	1	4	0	1	7	0	2	1	1	2	7	1	4	4	7	3	8
AT5G48980	3	1	3	1	2	1	2	3	4	0	6	2	2	0	2	0	4	1	1	0	0	2	3	2	1	4	3	3	3	5	8	8	7	5
