Gene	mat_SRR924077	pat_SRR924077	pat_SRR924078	mat_SRR924078
AC203535.4_FG007	0	1	0	1
AC203570.4_FG005	46	33	33	34
AC203754.4_FG008	15	4	13	30
AC203841.3_FG002	31	34	4	75
AC203841.3_FG009	471	233	341	919
AC203909.3_FG007	15	9	38	32
AC203957.3_FG004	23	0	0	43
AC203966.5_FG005	61	11	1	79
AC203972.3_FG001	1	2	0	0
AC203972.3_FG003	0	2	0	1
AC203986.3_FG013	2	0	0	0
AC203989.4_FG001	489	168	205	470
AC204048.3_FG002	11	1	5	17
AC204050.4_FG006	11	4	2	7
AC204070.3_FG004	16	8	31	24
AC204292.4_FG002	16	3	3	24
AC204292.4_FG006	1	1	0	2
AC204298.3_FG006	11	1	0	0
AC204359.3_FG005	220	45	100	194
AC204472.3_FG002	4	0	8	2
AC204502.4_FG006	6	1	1	8
AC204519.3_FG003	8	0	0	0
AC204539.4_FG001	11	1	3	1
AC204539.4_FG002	7	1	4	2
AC204711.3_FG002	46	3	8	23
AC204711.3_FG003	807	301	1137	1778
AC204717.3_FG005	1	0	0	5
AC204763.2_FG001	0	2	0	6
AC204868.3_FG004	6	0	0	0
AC204891.4_FG001	6	6	15	6
AC205008.4_FG002	6	3	3	1
AC205057.3_FG002	13	19	12	8
AC205057.3_FG004	3	0	3	0
AC205122.4_FG008	0	1	0	0
AC205122.4_FG009	1	0	0	0
AC205320.3_FG004	45	40	44	91
AC205362.4_FG002	8	0	12	46
AC205376.4_FG003	1	0	0	1
AC205376.4_FG008	17	16	6	8
AC205419.3_FG001	874	283	359	828
AC205471.4_FG003	58	15	8	48
AC205471.4_FG007	127	16	19	28
AC205471.4_FG008	8	8	9	31
AC205484.3_FG005	0	9	1	1
AC205521.3_FG003	1070	491	771	1486
AC205532.3_FG001	1	0	0	0
AC205567.3_FG002	0	9	0	6
AC205574.3_FG006	186	103	113	202
AC205592.3_FG001	1	0	0	11
AC205664.3_FG001	49	0	3	0
AC205673.3_FG006	26	3	3	11
AC205703.4_FG002	1590	1039	646	1661
AC205982.3_FG014	33	7	5	25
AC206031.3_FG007	6	9	4	35
AC206169.3_FG002	5	0	0	0
AC206223.3_FG001	11	4	0	95
AC206223.3_FG006	148	68	67	120
AC206223.3_FG007	5	0	3	4
AC206259.3_FG003	101	48	17	66
AC206611.3_FG003	3	0	0	0
AC206788.3_FG008	33	11	13	46
AC206788.3_FG015	125	6	8	106
AC206901.3_FG005	36	6	6	2
AC206941.2_FG002	491	145	106	127
AC206951.3_FG016	21	0	0	5
AC206951.3_FG017	4	0	4	19
AC207043.3_FG002	54	0	1	33
AC207205.3_FG004	3	3	0	18
AC207265.3_FG002	63	3	19	55
AC207342.3_FG007	397	185	125	264
AC207342.3_FG008	89	7	9	110
AC207533.2_FG002	19	18	35	38
AC207628.4_FG009	102	65	99	186
AC207628.4_FG010	11	0	1	0
AC207652.3_FG001	2	0	7	9
AC207722.2_FG009	3	0	2	15
AC207814.3_FG003	0	3	0	0
AC207888.3_FG009	2	0	1	2
AC208031.3_FG002	3	1	5	13
AC208126.3_FG001	0	15	0	148
AC208201.3_FG001	80	56	57	203
AC208337.2_FG003	19	0	0	24
AC208346.3_FG004	248	73	120	289
AC208436.3_FG007	24	12	10	22
AC208440.3_FG003	206	73	83	189
AC208454.3_FG002	4	0	0	0
AC208539.3_FG002	0	126	127	5
AC208559.3_FG003	0	10	0	33
AC208571.4_FG001	28	5	18	16
AC208610.3_FG010	1	0	1	0
AC208724.3_FG001	297	174	275	692
AC208892.3_FG005	3	0	0	5
AC208897.3_FG003	9	2	15	21
AC208897.3_FG004	4	0	0	0
AC208916.3_FG003	1	1	0	0
AC209050.3_FG003	1	4	10	10
AC209080.3_FG004	194	15	56	25
AC209206.3_FG011	123	53	68	161
AC209206.3_FG014	862	0	4	2707
AC209208.3_FG001	18	124	184	41
AC209208.3_FG002	201	7	21	738
AC209208.3_FG005	207	70	213	377
AC209213.4_FG002	0	3	0	5
AC209257.4_FG003	26	3	8	8
AC209257.4_FG004	3	1	5	0
AC209257.4_FG006	18	2	7	35
AC209257.4_FG008	441	508	224	1030
AC209356.4_FG001	4	1	13	42
AC209364.3_FG004	0	4	3	1
AC209374.4_FG002	19	4	13	43
AC209460.3_FG002	33	15	42	95
AC209624.2_FG003	3	53	49	14
AC209626.2_FG013	18	22	4	41
AC209636.2_FG003	10	0	0	136
AC209664.3_FG002	533	354	269	770
AC209675.3_FG001	0	2	0	0
